Network Id,Num of Items (In Repository)
991000367849705501,4.0
991001291829705501,4.0
991002277689705501,2.0
991002418839705501,4.0
991002666019705501,2.0
991002895389705501,7.0
991003324719705501,1.0
991003445739705501,4.0
991004706539705501,1.0
991004723739705501,11.0
991004881609705501,17.0
991005023559705501,7.0
991005099899705501,1.0
991005415059705501,2.0
991008145769705501,13.0
991009166539705501,1.0
991010486189705501,7.0
991011602399705501,6.0
991011883079705501,102.0
991012014289705501,7.0
991012448299705501,18.0
991013249079705501,10.0
991015769229705501,3.0
991016157459705501,1.0
991016703539705501,3.0
991017096509705501,6.0
991018438509705501,5.0
991018473319705501,1.0
991018878219705501,5.0
991018928479705501,2.0
991019021769705501,7.0
991020213959705501,1.0
991020264989705501,17.0
991020560399705501,7.0
991021259829705501,2.0
991021832569705501,2.0
991022347039705501,2.0
991023358049705501,1.0
991023435789705501,4.0
991023463149705501,5.0
991023790919705501,8.0
991024818329705501,1.0
991025061029705501,5.0
991025178609705501,12.0
991025468729705501,1.0
991026226299705501,1.0
991027457469705501,2.0
991030839089705501,3.0
991032810499705501,2.0
991033523629705501,1.0
991034353609705501,5.0
991034825289705501,2.0
991035983569705501,1.0
991036078089705501,2.0
991036195459705501,6.0
991037291279705501,2.0
991038065309705501,1.0
991040240739705501,2.0
991040811179705501,3.0
991040963589705501,1.0
991043403139705501,3.0
991043456639705501,1.0
991044166739705501,3.0
991044680409705501,1.0
991046705099705501,11.0
991046764999705501,3.0
991047645949705501,4.0
991051084729705501,3.0
991052027749705501,1.0
991052357589705501,1.0
991052426779705501,4.0
991052565999705501,4.0
991052596919705501,7.0
991052972169705501,3.0
991054170829705501,3.0
991054361699705501,2.0
991055894759705501,5.0
991056493979705501,54.0
991056494479705501,5.0
991057114339705501,3.0
991058203109705501,1.0
991060707789705501,4.0
991060775479705501,1.0
991060954019705501,3.0
991061183449705501,8.0
991061434219705501,1.0
991064228219705501,1.0
991064503479705501,1.0
991066015289705501,3.0
991066772169705501,4.0
991067267509705501,2.0
991067371689705501,2.0
991068837629705501,1.0
991068905369705501,38.0
991070403409705501,9.0
991071886729705501,3.0
991073767629705501,2.0
991074497079705501,2.0
991074500599705501,5.0
991074514499705501,1.0
991075485099705501,2.0
991075748439705501,2.0
991076333749705501,1.0
991077176449705501,5.0
991078317669705501,3.0
991078882349705501,3.0
991080405359705501,4.0
991081091569705501,1.0
991083056289705501,5.0
991083685339705501,2.0
991084193609705501,1.0
991084358349705501,2.0
991085680749705501,2.0
991087125629705501,3.0
991087597249705501,1.0
991087715959705501,3.0
991090059309705501,6.0
991092921769705501,7.0
991093236339705501,5.0
991093417249705501,9.0
991094921969705501,2.0
991095283049705501,1.0
991096218889705501,1.0
991097526409705501,3.0
991101338089705501,2.0
991103250039705501,17.0
991103847769705501,3.0
991104027559705501,1.0
991104248669705501,2.0
991104751159705501,2.0
991105068409705501,1.0
991105218869705501,2.0
991105801019705501,1.0
991106275419705501,1.0
991108263689705501,2.0
991108917569705501,2.0
991109293719705501,3.0
991109552429705501,3.0
991110437559705501,5.0
991110458949705501,2.0
991110590559705501,9.0
991111159149705501,5.0
991111495629705501,6.0
991112278319705501,2.0
991114878249705501,5.0
991116488489705501,2.0
991117323069705501,1.0
991118217109705501,8.0
991118434729705501,3.0
991119340089705501,2.0
991119828599705501,3.0
991119855639705501,1.0
991120894319705501,1.0
991121727249705501,5.0
991123971709705501,2.0
991125705459705501,2.0
991125718529705501,30.0
991126472709705501,2.0
991126646989705501,2.0
991126921489705501,1.0
991127282489705501,5.0
991127976459705501,2.0
991130266349705501,1.0
991131221559705501,1.0
991132066619705501,3.0
991132419089705501,2.0
991133000409705501,1.0
991134779609705501,4.0
991135772639705501,2.0
991136426579705501,4.0
991138143759705501,2.0
991139051729705501,3.0
991139832949705501,4.0
991140005769705501,14.0
991142329749705501,10.0
991143084239705501,5.0
991144226709705501,4.0
991144305069705501,1.0
991145419939705501,2.0
991145993329705501,2.0
991146078699705501,16.0
991146488509705501,2.0
991146805329705501,8.0
991147607389705501,1.0
991147640629705501,3.0
991149622339705501,3.0
991150106209705501,4.0
991150427279705501,1.0
991153420949705501,2.0
991153462029705501,9.0
991154692119705501,5.0
991155856269705501,3.0
991155884259705501,3.0
991156338429705501,1.0
991159016229705501,4.0
991160115429705501,3.0
991161219059705501,1.0
991161361359705501,2.0